unique_id,age,Gender,Math_Score,Reading_Score,Writing_Score,Lunch
JKT-2591,18,Female,31,67,71,Standard
JKT-8866,15,Male,19,33,50,Standard
JKT-0825,17,Female,83,60,44,Standard
JKT-9008,18,Female,78,3,82,Standard
JKT-5989,18,Female,7,21,62,Standard
JKT-8517,18,Female,68,97,42,Standard
JKT-6556,15,Male,17,50,1,Standard
JKT-0742,18,Male,16,85,74,Free/Reduced
JKT-9343,17,Female,10,43,23,Standard
JKT-0784,15,Female,68,2,80,Free/Reduced
JKT-8207,15,Female,66,84,79,Free/Reduced
JKT-8379,15,Male,83,60,37,Free/Reduced
JKT-8926,18,Female,88,88,9,Standard
JKT-5542,16,Female,7,6,30,Free/Reduced
JKT-3486,15,Female,75,6,24,Standard
JKT-0530,15,Female,23,98,95,Standard
JKT-1096,17,Female,26,21,100,Free/Reduced
JKT-1848,15,Female,56,46,50,Free/Reduced
JKT-7772,16,Male,3,18,89,Standard
JKT-1027,16,Male,43,81,35,Standard
JKT-2787,18,Female,38,99,38,Standard
JKT-2102,17,Female,91,6,52,Free/Reduced
JKT-0814,15,Male,3,70,66,Standard
JKT-4881,16,Male,55,48,25,Free/Reduced
JKT-3520,15,Female,34,33,37,Free/Reduced
JKT-5737,16,Male,63,90,82,Free/Reduced
JKT-2606,16,Male,2,37,33,Free/Reduced
JKT-4255,18,Female,66,35,22,Standard
JKT-7987,16,Female,23,59,9,Free/Reduced
JKT-7003,18,Female,10,24,82,Standard
JKT-6287,18,Male,9,44,70,Free/Reduced
JKT-7747,15,Female,63,80,1,Free/Reduced
JKT-2079,16,Female,16,3,8,Standard
JKT-1103,15,Male,35,15,46,Standard
JKT-4160,17,Male,80,84,74,Standard
JKT-1123,17,Male,49,45,28,Free/Reduced
JKT-6908,15,Female,24,96,33,Free/Reduced
JKT-3310,17,Male,54,69,91,Free/Reduced
JKT-4221,15,Female,83,95,35,Standard
JKT-0894,15,Female,62,22,16,Free/Reduced
JKT-4395,15,Female,51,45,91,Standard
JKT-4163,17,Female,70,33,83,Free/Reduced
JKT-4244,18,Male,16,22,61,Free/Reduced
JKT-0057,16,Female,86,11,64,Standard
JKT-6575,17,Male,86,32,66,Standard
JKT-9190,17,Female,78,18,16,Standard
JKT-0826,18,Female,55,21,38,Standard
JKT-0384,17,Female,88,62,27,Free/Reduced
JKT-4425,16,Female,31,97,24,Free/Reduced
JKT-0374,15,Male,86,28,84,Free/Reduced
JKT-4686,15,Male,95,79,78,Free/Reduced
JKT-4885,17,Male,27,49,90,Standard
JKT-8010,16,Male,87,10,56,Standard
JKT-4703,18,Female,91,13,3,Standard
JKT-3490,15,Male,79,59,13,Standard
JKT-8691,15,Female,0,67,63,Standard
JKT-2422,16,Male,75,3,4,Standard
JKT-6605,16,Female,75,30,73,Standard
JKT-7258,15,Male,5,44,30,Standard
JKT-8139,18,Female,24,18,59,Free/Reduced
JKT-4333,17,Female,76,7,29,Standard
JKT-7860,16,Male,87,83,27,Free/Reduced
JKT-3332,18,Female,99,52,17,Standard
JKT-6934,18,Male,82,67,14,Standard
JKT-2403,16,Female,87,83,47,Free/Reduced
JKT-9303,18,Female,77,9,9,Standard
JKT-7360,16,Female,90,78,5,Standard
JKT-9979,17,Female,37,38,19,Standard
JKT-4367,16,Male,12,12,4,Free/Reduced
JKT-8047,16,Male,7,34,68,Standard
JKT-7012,15,Female,50,42,37,Standard
JKT-3661,16,Male,46,26,53,Free/Reduced
JKT-2467,17,Male,89,41,26,Standard
JKT-2201,18,Male,59,5,86,Standard
JKT-4716,15,Female,72,24,21,Free/Reduced
JKT-7456,18,Male,85,89,81,Free/Reduced
JKT-3574,18,Male,8,71,83,Standard
JKT-1696,18,Male,72,59,21,Free/Reduced
JKT-5838,17,Male,65,76,78,Standard
JKT-5414,18,Female,96,90,40,Standard
JKT-3812,18,Female,97,10,35,Free/Reduced
JKT-9697,18,Female,18,58,16,Free/Reduced
JKT-9708,18,Female,43,62,78,Free/Reduced
JKT-4501,15,Female,79,25,59,Free/Reduced
JKT-6200,17,Female,41,63,49,Free/Reduced
JKT-2093,15,Female,52,31,9,Free/Reduced
JKT-6557,17,Female,2,77,99,Free/Reduced
JKT-6071,18,Female,95,50,95,Free/Reduced
JKT-8171,16,Female,45,51,7,Free/Reduced
JKT-1313,15,Female,24,78,84,Free/Reduced
JKT-4339,18,Male,96,76,30,Standard
JKT-6745,15,Female,6,30,56,Standard
JKT-1542,15,Female,43,7,78,Standard
JKT-6829,18,Female,92,2,43,Free/Reduced
JKT-6145,18,Male,74,78,62,Free/Reduced
JKT-9805,16,Male,69,87,30,Standard
JKT-9537,17,Male,54,26,46,Free/Reduced
JKT-9444,16,Male,30,86,48,Standard
JKT-0313,18,Male,99,84,37,Free/Reduced
JKT-0139,18,Female,54,28,80,Free/Reduced
JKT-1086,17,Male,66,72,58,Free/Reduced
JKT-4462,16,Female,57,85,13,Standard
JKT-4710,17,Female,15,46,34,Standard
JKT-6051,18,Male,7,95,67,Free/Reduced
JKT-0297,18,Male,11,9,25,Free/Reduced
