,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,y
0,40,technician,single,university.degree,no,no,no,cellular,nov,mon,130.0,1,7,2,failure,yes
1,45,unemployed,married,professional.course,no,yes,yes,cellular,aug,fri,98.0,5,999,0,nonexistent,no
2,33,admin.,single,university.degree,no,yes,no,cellular,jul,mon,182.0,1,999,0,nonexistent,no
3,29,technician,married,university.degree,no,no,no,telephone,may,fri,410.0,3,999,0,nonexistent,no
4,55,retired,married,basic.4y,no,no,no,cellular,jun,tue,130.0,2,999,0,nonexistent,no
5,29,admin.,single,high.school,no,yes,no,cellular,may,thu,566.0,2,999,0,nonexistent,yes
6,49,blue-collar,married,professional.course,unknown,no,no,telephone,may,mon,144.0,6,999,0,nonexistent,no
7,47,blue-collar,married,professional.course,unknown,yes,no,telephone,may,tue,15.0,11,999,0,nonexistent,no
8,46,admin.,married,high.school,no,yes,no,telephone,may,wed,100.0,4,999,0,nonexistent,no
9,36,admin.,married,university.degree,no,no,no,cellular,aug,thu,63.0,1,999,0,nonexistent,no
10,20,student,single,basic.4y,no,yes,no,cellular,aug,wed,131.0,1,999,1,failure,yes
11,53,blue-collar,married,basic.4y,unknown,yes,no,cellular,apr,mon,583.0,2,999,1,failure,yes
12,37,technician,single,university.degree,no,yes,no,cellular,apr,mon,6.0,2,999,0,nonexistent,no
13,53,blue-collar,married,basic.9y,no,yes,no,telephone,may,wed,166.0,1,999,0,nonexistent,no
14,36,entrepreneur,married,unknown,unknown,yes,no,telephone,may,fri,181.0,1,999,0,nonexistent,no
15,35,blue-collar,married,basic.6y,no,no,no,cellular,may,thu,112.0,1,999,1,failure,no
16,37,services,divorced,high.school,no,no,no,cellular,jul,thu,98.0,3,999,0,nonexistent,no
17,37,management,married,university.degree,unknown,no,yes,telephone,jun,mon,179.0,7,999,0,nonexistent,no
18,27,technician,single,professional.course,no,no,no,cellular,jul,mon,357.0,3,999,0,nonexistent,no
19,57,admin.,married,university.degree,no,no,yes,telephone,may,mon,327.0,1,999,0,nonexistent,no
20,36,services,married,high.school,no,yes,no,telephone,may,fri,352.0,2,999,0,nonexistent,no
21,32,technician,single,high.school,no,yes,no,cellular,may,thu,491.0,2,999,0,nonexistent,no
22,36,technician,single,professional.course,no,no,no,telephone,jul,thu,237.0,7,999,0,nonexistent,no
23,33,admin.,married,high.school,no,no,no,telephone,jun,tue,96.0,2,999,0,nonexistent,no
24,43,admin.,married,university.degree,unknown,yes,no,telephone,may,fri,2016.0,2,999,0,nonexistent,yes
25,25,admin.,married,university.degree,no,unknown,unknown,cellular,may,mon,612.0,7,999,0,nonexistent,yes
26,39,technician,single,university.degree,no,no,no,cellular,jul,wed,31.0,1,999,0,nonexistent,no
