,text,label
0,"Aurion C3 Iron Curl Bar with 2 Locks, 3 ft (Silver) 21 mm thickness The brand deals in all types of fitness equipment and accessories and provides high end products to its customers. Ranging from gym equipment to dumbbells and training equipment, the brand has it all.",Household
1,"Presto 06620 11-Inch Electric Skillet Fries, grills, stews and more! Accommodates large roasts, hams and poultry. Innovative EverNu cover won't dent, warp, bend or peel. DiamondCoat deluxe nonstick finish inside and out. Dishwasher safe w",Household
2,"WHOOSH! Award-Wining Screen Cleaner - Safe for all screens - Smartphones, iPads, Eyeglasses, Kindle, Touchscreen TVs - Includes 1 unit of 500ml/16.9 fl oz W/Cloth +Bonus Emoji Cloth",Electronics
3,ManQ Men's Blended Waist Coat,Clothing & Accessories
4,"Lace And Me Women's Blended High Waist Tummy & Thigh Shapewear ( ,Beige,Free Size) Laceandme firm control tummy & mid-thigh shaping High waist shapewear. Great tummy compression, lifts rear. smooth look, No visible panty lines. New sleek yarns will not cling to clothes. Stretch Microfiber . Material : cotton+ spandex+nylon. Free size . Can be machine washed. Superior quality product. Packet contains : One shapewear.",Clothing & Accessories
5,"Scotch-Brite Premium Toilet Brush with round container,Blue/White Style:With Holder   Product Description Brush can be conveniently stored in the container, Suitable for both Indian and western toilets. Thick and tough nylon bristles make cleaning toilets and easy task, The round container makes it easy to store the toilet brush. 				    	 					 From the Manufacturer    view larger    view larger  Unique angled toilet Brush with holder. Suitable for western toiletsBenefitsThick and tough nylon bristles make cleaning toilets and easy task The bristles on the side make cleaning under rim easy The round container makes it easy to store the toilet brush The handle makes cleaning an easy taskHow to UsePut the cleaning liquid in the toilet Use the toilet brush to scrub and clean the toilet After the cleaning wash the brush and keep the brush in holder",Household
6,"Dear Zoo About the Author Rod Campbell has been writing and illustrating children's books for over thirty years. Best known for his classic lift-the-flap book, Dear Zoo, he is also the creator of the much-loved preschool character Buster. Ingeniously simple, with touches of gentle humour, Rod's books are loved by children, parents and teachers alike.",Books
7,"Authentic Antenna - GSM FCT Antenna - Stick Antenna Antenna for GSM FCT devices - Stick Antenna GSM FCT Antenna GSM FCT (fix cellular terminal) device is used for voice call service by GSM SIM network, Antenna is essential part of GSM FCT device, Stick antenna is used to fetch network from tower to device This antenna is supported to GSM FCT of micormax, pacetel, authentic etc... and other GSM Module",Electronics
8,"1965: Stories from the Second Indo-Pakistan War About the Author Rachna Bisht Rawat is owned by Saransh, a worldly-wise thirteen-year-old; Huzoor, a crackpot Golden Retriever; and Lt Col Manoj Rawat, a footloose Army officer whose job takes the Rawats to some of the quirkiest places in India. She also writes. You can reach her at www.rachnabisht.com. Rachna has worked with the Statesman, Indian Express and Deccan Herald. She is a 2005 Harry Brittain fellow and winner of the 2006 Commonwealth Press Union quarterly’s Rolls Royce Award. Her first story, ‘Munni Mausi’, was Highly Commended in the 2008–09 Commonwealth Short Story Competition. Her first book was The Brave: Param Vir Chakra Stories, published by Penguin.",Books
9,"Mars Long Lasting Alovera Makeup Fixer and Makeup Primer - 175 ml (Transparent) Lightweight,soothing spray fixes all kind of makeup, forming on the skin with light invisble blemishes with moisturizing effect",Household
10,"India Meets India Aum Cum Steel Tongue Happy Drum Pan with Rubber Musical Mallet and Travel Bag for Meditation Yoga Zen Sound Healing, 9-inch This happy drum also called - the instrument of happiness is a steel tongue drum. The tongues are scientifically cut into 8 different sizes and shapes and make an octave of melodious musical pitches and sounds, no matter which order you play in. The instrument is based on pentatonic scale which originated in ancient civilizations and is still used in us country music, indian traditional classical music, chinese music and blues. A special zen like musical instrument, the happy drum when played creates soothing meditative tones that relaxes both body and mind. This instrument is very useful and effective for yoga sessions, meditation classes, natural therapies and healing sessions. It is a very creative instrument and moreover extremely simple to play. You can play it with two run rubber mallets provided along with the instrument or with your fingers. Off course, if you are a professional, you can start simply start playing with your fingers just like you play a bango or tabla. However, if you are beginner it is recommended that you first play with the mallets. It comes with a sturdy, handy bag that allows you to take it anywhere you go. Rubber feet are provided at the bottom for the drum to sit straight and create best sound.",Electronics
11,"Study Table & Chair Set for Kids Unisex Learning Activity Desk for Children (Green) BIG Unisex Multipurpose Heavy Duty Baby Cartoon Printed Wooden Board Study Table with Chair Set For Kids Children Toddlers study Room , Height Adjustable study DESK tables and Chairs for Toddler Baby Girl & Boy Material: Wood and Iron / Steel / Plastic part * Dimension Approx : (H) 59 x (W) 43 x (L) 68 cms Ideal for: Both for boys and girls Babies Unisex Gift for Birthday Christmas Diwali , Age Group : 2 yrs to 7 years , and Other Features: Height adjustable according to the height of the child as the child grows, Delivery time: 10 to 12 days depending on the place. they are not part of the product, * Colours Available in multi colour PINK RED BLUE GREEN ORANGE color. perfect for your child's initial preschool, kindergarten and schooling years and can be used as a study desk or Learning computer table Education homework Studying Dining Etc",Household
12,US Polo Assn. Boys' Shirt U.S. Polo Assn. Boys Shirt,Clothing & Accessories
13,"EVERYTHING IMPORTED 3.5 mm Bluetooth Stereo Adapter Audio Receiver with Dongle Transmitter USB Mp3 Speaker (Random Colour) With this device you can make any speaker including your car home or even your computer speakers wireless. It will enable you to play Music directly from your phone to your speakers with superior quality sound through your phone's Bluetooth. You do not have to throw away your old speakers just invest in this adapter and your old speakers will be bluetooth compatible. NOTE: That this device is powered by usb. You can put this device directly into a usb wall socket for it to work or any other USB port. Features: Lets ordinary speakers instantly become wireless Bluetooth stereo audio music speakers Can be paired to any bluetooth enabled devices, such as mobile phone, laptops, speaker and Bluetooth audio transmitter. Make any speaker play wireless music Instructions for use: Insert the receiver into the speaker's usb interface, and the other end connected with the 3.5mm audio cable to the receiver and the LINE-IN interface of speakers Open the Bluetooth-enabled mobile phone (or computer), and search the surrounding Bluetooth devices to find a device called find its pairing code is 0000, after the pairing is successful, the led light will slow down Then you can select the music via Bluetooth from a cell phone or computer, a great music will play from speaker Specifications: Bluetooth Standard: Bluetooth V2.0+EDR, support A2DP V1.2 Power supply: 5V USB Output: 3.5mm Audio interface Distance: 5-10 meters Sound output rate: 44.1KHZ and 48KHZ Total weight: 15g Size: 55mm*20 mm*10mm",Electronics
14,"Samsung Galaxy J Max Tablet (7 inch, 8GB,Wi-Fi+4G with Voice Calling), Gold Colour:Gold   Whether it’s movies or games, the Galaxy J Max puts you right in the heart of the action. With a slimmer and lightweight design, it brings every moment to life on a stunning 17.77 cm WXGA TFT screen. And always keeps you at the edge of your seat.Go wireless when you’re on the go. The Galaxy J Max comes with a Bluetooth headset in the box so you can stay connected to your smartphone seamlessly.A whopping 4,000 mAh battery powers the Galaxy J Max and gives you uninterrupted use for up to 9 hours. Now enjoy more of what you love, without worrying about the battery drain. Because the Galaxy J Max is there to keep you entertained.The LTE-enabled Galaxy J Max lets you browse, stream and play at incredible 4G speed. And while you enjoy your favourite content, you can save your 4G data usage by up to 50% with the Ultra Data Saving Mode.Say goodbye to boredom. Now you can enjoy the latest blockbusters, TV shows and music videos with a 1 Year Subscription* to Viu, a premium video on demand streaming service.When it comes to connectivity, it’s always good to have options. And the Galaxy J Max gives you just that with Dual SIM support. Now simply choose the plans that work best for you.",Electronics
