house_id,house_address,house_land_area,house_building_area,house_pool,house_bedroom,house_bathroom,house_floor,house_condition,house_price,house_province,house_city
HOUSE_27084,"60602 Gilmore Mission
Marcoberg, ND 44300",1709,4182,True,7,5,7,Second,622108304,Hawaii,New Christine
HOUSE_72816,"608 Tracy Ridges
Pamelafort, ME 72023",4758,17056,False,7,6,8,Renovated,325818037,Iowa,Hammondfurt
HOUSE_77163,"2115 Katrina Shores Suite 616
Monicashire, DC 63845",7865,21743,True,1,5,4,New,479414578,Pennsylvania,Nixonborough
HOUSE_18147,"50533 Torres Manor
Davisborough, MI 24078",4845,17555,True,3,4,4,Renovated,107486511,Montana,Sarahshire
HOUSE_98263,"0866 Stephanie Court Suite 551
East Rachelhaven, PW 09115",6085,15062,True,9,8,8,New,99761524,New York,Donaldfort
HOUSE_21484,"789 Mary Locks
Gabrielleland, AL 03895",6983,16459,False,2,9,5,New,654969021,South Carolina,Bonnieport
HOUSE_54623,"88442 William Land Suite 362
East Mary, LA 48322",7135,14331,False,0,0,2,Renovated,161916884,Montana,Lake Robert
HOUSE_78307,"PSC 6594, Box 5001
APO AA 90044",485,5719,False,7,0,8,New,608578851,South Carolina,Donaldstad
HOUSE_53336,"2345 Mathis Skyway Suite 268
Tatefurt, NV 30242",9674,29292,True,0,9,1,Renovated,709940777,South Dakota,Carrillofurt
HOUSE_7324,"871 Kevin Circles
Port Charlotte, IL 78303",1962,7613,True,5,2,1,Renovated,578053078,Delaware,Kathleenland
HOUSE_54114,"127 Wall Street Apt. 395
Danieltown, GA 50107",627,9420,True,0,4,3,Second,922588117,Minnesota,Chapmanville
HOUSE_34462,"152 Alexandra Glens
West Ryan, MO 38761",2362,11711,True,8,1,6,Renovated,580238524,Indiana,Carolview
HOUSE_68946,"577 Jared Lights Apt. 968
Youngville, MS 24593",3080,9572,True,8,3,4,Second,780660838,Michigan,Port Jenniferfurt
HOUSE_58650,"25337 Justin Harbor Suite 826
Nicoleville, AL 40286",4723,10057,False,6,0,2,New,372820378,Delaware,Kellyborough
HOUSE_45834,"78956 Anthony Lake Apt. 720
Port Dawnmouth, IN 62843",1792,4823,False,2,4,3,Second,350622029,Virginia,Port Justin
HOUSE_17484,"44196 Clifford Ports Suite 179
Lake Ashley, WI 46487",3773,13152,True,5,1,5,Second,602568084,Illinois,Port Denisetown
HOUSE_68433,"6562 Rowe Road Suite 212
South Jennifer, DC 37654",4798,19066,True,7,6,1,New,734616581,Illinois,Wrightville
HOUSE_64365,"342 Anderson Centers Apt. 097
Lake Regina, NJ 43747",446,3224,True,0,0,0,Second,631916241,Nebraska,Wilsonfort
HOUSE_66795,"8543 Holder Greens
Port Larry, RI 93611",2530,10366,False,1,6,2,Second,987424873,New Mexico,West Nancy
HOUSE_75948,"10603 Ford Parks Suite 569
Walterside, NH 54566",9079,22560,True,0,9,2,Second,453698551,Illinois,Ginachester
HOUSE_46410,"USCGC Myers
FPO AE 27316",6505,15749,False,1,8,2,Renovated,580550602,Rhode Island,North Brianberg
HOUSE_95290,"8801 Clark Springs Suite 443
Gravesfort, WY 19740",6276,21000,True,3,2,4,Renovated,73097003,Florida,Elizabethmouth
HOUSE_39236,"581 Alvarez Cliff
South Lori, ME 28797",3556,12182,False,6,0,5,Renovated,796686528,Nevada,West Justinland
HOUSE_88059,"5499 Rivera Prairie Suite 945
Phillipsview, UT 70084",8662,22279,False,6,4,3,New,43026864,Delaware,Cookview
HOUSE_13544,"590 Tiffany Plains
East Davidport, MP 21997",2922,15004,False,5,7,7,Renovated,951504687,Missouri,Jacksonton
HOUSE_93039,"671 Stuart Course
West Teresa, AK 81928",2377,5176,False,3,3,9,New,880640591,Massachusetts,Port Stevenmouth
HOUSE_93067,"9948 Jones Orchard Apt. 034
East Kevinfort, AZ 36681",1408,12652,True,3,0,4,New,934560002,New York,New Robin
HOUSE_7061,"2646 Tamara Land Apt. 245
Strongburgh, DC 80462",5653,21103,True,5,0,4,Renovated,435063937,Kentucky,South Joshua
HOUSE_66301,"389 Meredith Street
Nguyenbury, DE 04196",6607,15940,True,5,0,0,New,343524794,Georgia,West Josephberg
HOUSE_3351,"052 Murray Stream
South Michaelmouth, AZ 18045",2522,13254,True,1,2,3,New,952970860,Montana,Lake Jesseview
HOUSE_52519,"62233 Maddox Islands
Weberfort, MD 65594",6927,22570,False,6,4,7,New,625498914,Missouri,Ashleyview
HOUSE_27954,"751 Steven Loop Suite 137
West Alexandriatown, MP 19542",7126,19190,False,3,1,1,New,342720229,Massachusetts,Lake Jacqueline
HOUSE_15381,"77548 Michael Field
Olsenton, WV 06241",4703,14141,False,7,4,2,Renovated,874187975,Massachusetts,Murrayville
HOUSE_56366,"70300 Matthew Burgs
Thompsonport, KS 21896",8618,21805,True,9,5,6,Renovated,265105727,New Jersey,Jonesville
HOUSE_25035,"504 Smith Plains Suite 739
East Jennifertown, IA 21912",5169,18982,True,8,2,1,Renovated,189311047,Washington,East Shawna
HOUSE_90439,"62910 Fisher Ridge
Kimberlyton, MO 85591",1418,4921,False,5,8,7,New,342158857,North Dakota,New Shaunville
HOUSE_65493,"412 Laura Forge
Carlosfurt, MS 11817",4855,17454,True,2,7,8,Second,252758310,Kentucky,Susanmouth
HOUSE_97681,"USCGC Cobb
FPO AP 64206",8014,23467,True,6,8,5,New,996874033,Utah,New Jessica
HOUSE_24977,"516 Lucas Wall Apt. 785
Heatherville, IA 48791",6903,17184,True,1,0,3,Renovated,117909234,Utah,East Carla
HOUSE_46212,"11778 Scott Village
Lake Juliaside, NC 09140",1637,9719,False,0,6,4,Renovated,970143204,Indiana,Kristinafurt
HOUSE_30108,"USNV Contreras
FPO AA 71883",9013,23827,True,2,1,1,Second,294384924,Arizona,Hernandezport
HOUSE_77366,"USNS Chambers
FPO AE 08797",7101,17251,True,1,2,0,New,384302432,Maryland,East Michealfurt
HOUSE_19894,"36715 Ryan Stream
South Tanya, NE 79356",6519,13949,False,7,7,1,Second,574644375,Maine,Matthewhaven
HOUSE_26216,"016 Roberts Manor
North Jeffreyton, MP 52110",4411,12505,False,4,0,6,Second,556616111,Georgia,Craigville
HOUSE_65684,"71024 Gay Park
Bakerville, OR 36419",6389,21710,True,4,4,4,Second,566458445,Wyoming,North Aaron
HOUSE_96097,"USNV Greene
FPO AE 85149",2005,12362,True,5,4,6,Second,814294072,Missouri,East Mark
HOUSE_72561,"71555 Moreno Brook
Hernandezshire, CA 79207",9219,26081,False,5,4,8,Renovated,788319083,Nebraska,North Valeriefort
HOUSE_16253,"685 Anderson Field
South Jeffreyfurt, AR 36009",3167,9697,False,5,8,2,Renovated,578180064,Michigan,Andrewsfurt
HOUSE_95352,"923 Allen Park
Lewisfort, MH 68066",1329,11432,True,1,2,0,New,55773004,Iowa,Aliciafort
HOUSE_63217,"98284 Danielle Vista
West Michelle, IA 49936",5507,20432,False,1,5,4,New,500914063,Alabama,South Seanberg
HOUSE_63010,"654 Oneal Forks
Robertborough, KY 61768",9760,27342,True,2,1,3,Second,103385996,Idaho,Jonesshire
HOUSE_68893,"396 John Roads Apt. 713
South Meganmouth, ID 41115",5385,15809,False,7,7,5,Renovated,242201542,Utah,New Jenniferfort
HOUSE_80154,"73525 James Springs Apt. 643
New Michael, GA 50949",3090,13194,True,5,2,1,New,67805047,South Carolina,Phillipview
HOUSE_34381,"618 Sarah Mission
Brendaland, AS 46310",1129,8478,True,4,9,0,Renovated,719232918,Michigan,Port Elizabethside
HOUSE_53222,"70431 Paula Lights Apt. 937
Lake Jessicabury, SC 88030",671,7925,True,9,8,1,New,859093743,Louisiana,Fordfort
HOUSE_60116,"03379 Jeffrey Rapids Apt. 634
North Richard, VI 33393",6925,17205,False,3,4,7,Second,426760555,Michigan,Cindychester
HOUSE_68609,"793 Andrade Point
Denisemouth, MI 35064",5016,15385,True,6,0,9,Renovated,774061110,New Hampshire,North Jose
HOUSE_38663,"460 Wilson Springs
Port Bianca, OR 84284",3426,11315,True,4,5,5,Second,857562716,Minnesota,Carpenterburgh
HOUSE_82899,"05893 Gloria Plaza Apt. 166
North Jason, FL 73231",3170,7609,False,1,2,3,New,831599645,Maryland,North Ronaldshire
HOUSE_67130,"12251 Angelica Locks Apt. 931
Lake Helenborough, OR 50426",7319,16585,False,7,9,8,Second,837548763,Oregon,Maryburgh
HOUSE_71186,"9336 Jason Lakes Apt. 158
New Kristina, RI 77468",52,9684,False,5,1,2,New,717985863,Arizona,South Alanbury
HOUSE_15847,"7927 Heidi Mall
South Anthonymouth, VI 01175",7314,18858,False,5,7,1,Renovated,585218275,North Carolina,South Christopherton
HOUSE_15493,"1541 Rowe Land Suite 508
North John, MH 19134",4713,17312,False,2,7,1,New,599354122,Massachusetts,Markfort
HOUSE_41485,"503 Hall Mountains
Chanport, WY 59863",8363,25215,True,6,6,1,New,90548916,Oklahoma,Lake James
HOUSE_57936,"61885 Wade Track
Jensenshire, MP 44239",2629,7242,True,7,6,6,Second,289451008,Nevada,New Jonathanbury
HOUSE_74636,"USNS Pena
FPO AA 72605",4978,14864,False,2,6,4,New,266542394,New Jersey,Colleenstad
HOUSE_45243,"91200 Meyer Keys
Samanthastad, MP 19961",8317,20214,False,8,2,9,Renovated,110662000,South Carolina,East Dana
HOUSE_96815,"0716 Leach Inlet
Sanchezmouth, SC 86822",6137,21316,True,3,8,8,New,368663224,Hawaii,Davidtown
HOUSE_20889,"167 Raymond View Apt. 342
Haleyport, DE 41821",6004,21504,False,2,2,7,Renovated,900784467,Arizona,Stephanieside
HOUSE_47942,"1710 Brandon Shoal Apt. 042
Port Ronald, NM 47341",3165,11013,False,6,2,4,New,329897417,Wyoming,Brittanyland
HOUSE_14546,"72847 Simpson Cliff
Dianabury, DE 79678",3469,13568,True,4,4,8,New,321464682,Texas,Bradleyshire
HOUSE_7891,"USCGC Brown
FPO AA 89121",1352,8616,True,4,3,8,New,798208583,Hawaii,West Keithfurt
HOUSE_64972,"8580 Hernandez River Apt. 641
South Kelly, CA 91658",8585,26643,True,4,3,1,Second,624497413,North Carolina,Kevinport
HOUSE_87084,"844 Sarah Stream Suite 272
Morganbury, CO 69570",5942,16866,True,1,2,7,Renovated,149753849,Arizona,South Stephaniestad
HOUSE_62835,"3679 Maria Drive
Veronicafurt, TX 79987",9339,20265,False,8,3,2,New,697487836,Utah,Jefferyview
HOUSE_46239,"629 Michael Points Apt. 007
Jefftown, WY 82091",2031,9348,False,1,3,5,Second,539131182,Maryland,West Joseph
HOUSE_42777,"PSC 1558, Box 6632
APO AE 89553",5202,17415,False,9,4,0,Second,890387694,Florida,Butlerborough
HOUSE_69081,"6753 Jeffery Unions
Simpsonstad, VA 87794",4062,16902,True,3,7,0,Renovated,45187126,Washington,Stevenhaven
HOUSE_47845,"233 Martin Station Suite 452
Sherryhaven, MN 26005",3031,7253,False,4,1,0,New,564539751,Maryland,West Davidmouth
HOUSE_71363,"53453 Green Burgs
New Jerryburgh, CT 08590",8516,21804,True,6,4,0,Renovated,710137690,California,West Shanestad
HOUSE_29302,"9772 Brian Gardens
Lake Charlesmouth, NC 38587",2858,14370,True,5,0,2,New,495497736,Colorado,West Christopher
HOUSE_35529,"108 Amy Mountains Apt. 825
Lake Bethville, MT 36242",5769,14736,False,9,9,0,Second,400024864,Michigan,Mitchellburgh
HOUSE_56435,"USNS Cabrera
FPO AP 20346",6690,19868,False,5,4,0,New,120623199,Wisconsin,Lake Heather
HOUSE_13044,"40921 Rodriguez Alley
Alisonton, VI 50469",71,2426,False,4,5,4,New,124717633,Oklahoma,New Johnport
HOUSE_75396,"497 Timothy Summit
North Johnland, WY 83656",7066,16781,True,6,1,5,New,711970044,North Carolina,Jeffreytown
HOUSE_8070,"026 Angela Mall Suite 692
South Melissamouth, NC 36236",396,4390,False,2,3,7,New,898612439,Iowa,Lake Walterfurt
HOUSE_55627,"90387 Green Stravenue Suite 822
New Janet, GU 82168",3530,10187,True,4,8,4,Renovated,375208486,Connecticut,Port Trevormouth
HOUSE_14522,"1236 Miller Mountains Suite 709
South Loriborough, AS 20917",8635,24038,False,7,2,3,Renovated,659798221,Mississippi,Christopherton
HOUSE_68973,"Unit 3596 Box 2439
DPO AP 13026",4476,12947,False,5,9,2,New,359174441,Pennsylvania,Lake Ann
HOUSE_97268,"USNS Torres
FPO AP 82809",5333,15541,False,7,2,2,New,907758010,Vermont,North Patrickville
HOUSE_76866,"5324 Harrison Hollow
Port Jonathan, WV 31725",2297,9545,True,8,6,2,New,625460453,Alabama,Port Megan
HOUSE_41303,"PSC 8179, Box 1997
APO AA 26874",3988,8065,False,6,8,6,New,370116542,Delaware,South Lisa
HOUSE_7009,"916 Michelle Forge
Mooreport, GU 61493",1955,13260,True,5,6,1,Second,610425811,Oklahoma,Berryberg
HOUSE_77800,"USNV Murphy
FPO AA 11267",2717,6213,True,7,5,2,Renovated,196363860,Montana,Port Zachary
HOUSE_89049,"95738 Steele Fort Suite 928
West Barrytown, TX 09242",8229,22953,False,1,5,8,Second,626880246,Hawaii,Dixonville
HOUSE_62959,"575 Brenda Keys Suite 180
Davidville, WY 65192",6102,20047,True,2,9,7,New,843634691,Connecticut,Katherineshire
HOUSE_83449,"46877 Cole Heights
New Jenniferchester, MH 75959",1859,11554,True,9,8,7,New,959441676,Texas,Port Davidshire
HOUSE_89981,"98062 Rick Keys Apt. 872
Jamesbury, ID 12864",2002,6415,False,8,5,4,Second,976039269,Maine,North Darren
HOUSE_80860,"USCGC Guerrero
FPO AE 17431",4350,18123,True,7,6,7,Renovated,98370652,Alaska,East Andrew
HOUSE_16551,"2140 Tyler Plains
Jonesburgh, LA 53494",2076,6316,False,6,3,2,Renovated,2488832,Kansas,Port Sean
HOUSE_18095,"01222 Kimberly Brook Apt. 255
Port Kellyport, NH 67233",2541,8792,True,4,4,2,Renovated,412166801,Oklahoma,New Larrychester
HOUSE_77774,"2441 Beasley Spurs Suite 605
South Brianna, MN 56362",6464,13791,False,5,8,1,New,510100795,Virginia,New Haroldmouth
HOUSE_83716,"60500 Evans Turnpike
Lake Julie, MP 07223",1958,8965,True,6,6,9,New,802432763,Ohio,South Mistystad
HOUSE_24891,"686 Angela Springs
West Troy, MD 83449",6412,20102,True,1,2,9,Second,191754260,Rhode Island,Port Stephanieville
HOUSE_48305,"81957 Thompson Estates
North Allisonville, AZ 98717",4594,17750,True,4,4,0,Renovated,549737316,Mississippi,New Belinda
HOUSE_30802,"38007 Carney Spurs
Andreaside, OR 07944",2831,6351,True,5,5,2,New,277006192,Louisiana,Matthewsville
HOUSE_988,"907 Melissa Branch
West Jodyview, SD 16727",460,1560,True,8,8,8,Renovated,121570689,Alaska,North Jared
HOUSE_33932,"98217 Joanna Well Apt. 053
Lake Jonathanville, RI 41136",9977,23509,False,0,4,5,New,481897387,Tennessee,South Robertaside
HOUSE_36413,"246 Shawna Greens Apt. 357
New Laurenport, MP 90981",3049,15861,True,0,2,4,New,577074862,Virginia,Andreaberg
HOUSE_29846,"45032 Justin Pike Apt. 337
Donaldhaven, OK 73835",9056,23043,False,2,0,3,New,339289917,Louisiana,North Rickeymouth
HOUSE_78691,"8484 Martinez Trail
North Martha, OH 75731",7035,18544,False,5,6,4,Renovated,848252290,Rhode Island,Gabriellatown
HOUSE_91582,"79719 Callahan Viaduct
Moorechester, PR 93741",6486,19380,True,4,4,6,New,923824605,New Hampshire,West Melissa
HOUSE_37078,"27391 Kevin Ranch
Salazarland, NH 46285",8445,24590,True,8,3,0,New,252945625,Kentucky,East Virginiamouth
HOUSE_84709,"53025 Ryan Locks Apt. 223
South Laura, AK 55022",5379,14051,False,7,8,0,Second,880035055,West Virginia,Williamsborough
HOUSE_82244,"132 Katie Cliff Suite 165
Port Stephenland, OR 13208",2771,9413,True,5,4,2,New,299992175,North Dakota,Beckside
HOUSE_87282,"498 Newton Islands Apt. 265
East Martin, MS 85328",666,4613,False,6,6,6,Second,151811983,Colorado,Shermanport
HOUSE_56952,"730 Amy Summit Suite 199
Ericside, PR 90017",3620,7323,False,3,7,1,Second,191212302,South Carolina,Banksmouth
HOUSE_19670,"07038 Tony Expressway
Staceyview, MS 39131",4000,16446,True,2,6,7,Second,615923606,New Jersey,South Craigchester
HOUSE_3042,"40680 Terri Freeway
Lake Lindachester, WI 81767",5439,17326,False,3,1,7,Renovated,932902938,Delaware,Valencialand
HOUSE_55145,"47930 Hebert Place Apt. 648
South Jerome, OH 70327",1481,7581,True,7,4,8,New,581148730,Iowa,West Stefanie
