transaction_id,transaction_date,transaction_price
TRANSACTION_47188,2015-08-04,622108304
TRANSACTION_96844,1974-01-30,325818037
TRANSACTION_43158,2013-06-14,479414578
TRANSACTION_14124,1994-08-07,107486511
TRANSACTION_44406,1972-11-04,99761524
TRANSACTION_32433,1973-05-12,654969021
TRANSACTION_75277,1999-03-22,161916884
TRANSACTION_15450,2015-03-13,608578851
TRANSACTION_11097,1998-09-10,709940777
TRANSACTION_37446,2008-07-11,578053078
TRANSACTION_40980,1992-11-29,922588117
TRANSACTION_79953,1983-02-02,580238524
TRANSACTION_3904,2014-09-19,780660838
TRANSACTION_29110,2020-03-19,372820378
TRANSACTION_89674,1988-03-26,350622029
TRANSACTION_16925,2000-08-21,602568084
TRANSACTION_66596,1982-01-19,734616581
TRANSACTION_85760,2011-04-12,631916241
TRANSACTION_19428,1970-03-18,987424873
TRANSACTION_17134,2010-09-07,453698551
TRANSACTION_28633,1988-10-26,580550602
TRANSACTION_16112,2010-02-02,73097003
TRANSACTION_27784,2012-11-25,796686528
TRANSACTION_11511,2022-07-12,43026864
TRANSACTION_23661,1979-11-27,951504687
TRANSACTION_59446,1981-06-19,880640591
TRANSACTION_76389,1982-09-06,934560002
TRANSACTION_2699,1987-05-09,435063937
TRANSACTION_63501,1987-09-19,343524794
TRANSACTION_11581,1982-09-25,952970860
TRANSACTION_77044,1992-04-12,625498914
TRANSACTION_954,1989-11-08,342720229
TRANSACTION_303,1976-06-21,874187975
TRANSACTION_97560,1973-10-30,265105727
TRANSACTION_89759,2019-01-19,189311047
TRANSACTION_77711,1991-06-28,342158857
TRANSACTION_79782,2005-03-20,252758310
TRANSACTION_74551,1999-08-19,996874033
TRANSACTION_4673,2022-03-20,117909234
TRANSACTION_49041,2011-01-18,970143204
TRANSACTION_69925,1988-02-26,294384924
TRANSACTION_64481,2004-10-17,384302432
TRANSACTION_51854,2009-06-02,574644375
TRANSACTION_76911,1973-08-21,556616111
TRANSACTION_14677,2011-08-07,566458445
TRANSACTION_99999,1989-07-31,814294072
TRANSACTION_1438,2007-10-28,788319083
TRANSACTION_7922,2009-12-01,578180064
TRANSACTION_51983,2015-02-17,55773004
TRANSACTION_65134,1994-06-01,500914063
TRANSACTION_55828,1978-06-10,103385996
TRANSACTION_21359,2008-09-27,242201542
TRANSACTION_87270,1999-11-23,67805047
TRANSACTION_13479,2015-05-15,719232918
TRANSACTION_62629,1971-09-23,859093743
TRANSACTION_61488,1995-09-11,426760555
TRANSACTION_44473,1984-09-24,774061110
TRANSACTION_57494,2021-01-16,857562716
TRANSACTION_56583,1974-09-13,831599645
TRANSACTION_16385,2002-02-25,837548763
TRANSACTION_36297,1970-07-04,717985863
TRANSACTION_91092,2017-03-16,585218275
TRANSACTION_21565,1970-09-17,599354122
TRANSACTION_97650,2017-05-09,90548916
TRANSACTION_86693,1973-03-07,289451008
TRANSACTION_95520,1972-09-16,266542394
TRANSACTION_48975,2022-01-20,110662000
TRANSACTION_68587,1987-12-23,368663224
TRANSACTION_70973,2000-11-08,900784467
TRANSACTION_20033,2022-07-11,329897417
TRANSACTION_66286,1997-01-08,321464682
TRANSACTION_81699,1983-06-13,798208583
TRANSACTION_86930,1983-10-26,624497413
TRANSACTION_55979,2004-09-24,149753849
TRANSACTION_80748,1999-11-22,697487836
TRANSACTION_91977,1975-11-02,539131182
TRANSACTION_89422,1991-05-29,890387694
TRANSACTION_25383,2004-08-26,45187126
TRANSACTION_69543,1974-03-17,564539751
TRANSACTION_65113,2016-06-26,710137690
TRANSACTION_41404,2005-11-03,495497736
TRANSACTION_12216,2001-01-18,400024864
TRANSACTION_57604,1980-05-04,120623199
TRANSACTION_4805,1978-01-16,124717633
TRANSACTION_7785,2014-07-25,711970044
TRANSACTION_56276,2010-10-07,898612439
TRANSACTION_89763,2001-08-13,375208486
TRANSACTION_87963,1990-07-16,659798221
TRANSACTION_79654,2000-09-14,359174441
TRANSACTION_32194,2019-01-24,907758010
TRANSACTION_63487,1989-05-23,625460453
TRANSACTION_1127,1979-09-17,370116542
TRANSACTION_31411,1982-02-12,610425811
TRANSACTION_82426,2015-04-13,196363860
TRANSACTION_17910,1992-08-15,626880246
TRANSACTION_35082,1994-12-23,843634691
TRANSACTION_22422,1995-03-12,959441676
TRANSACTION_83834,1987-09-07,976039269
TRANSACTION_41260,1985-04-11,98370652
TRANSACTION_1824,1975-11-10,2488832
TRANSACTION_78864,1999-11-26,412166801
TRANSACTION_12224,2006-07-22,510100795
TRANSACTION_93141,1990-06-08,802432763
TRANSACTION_50140,2008-06-30,191754260
TRANSACTION_28001,2015-11-14,549737316
TRANSACTION_55436,1992-01-23,277006192
TRANSACTION_86822,2022-06-18,121570689
TRANSACTION_39700,2016-04-02,481897387
TRANSACTION_56304,2006-03-17,577074862
TRANSACTION_37808,2004-01-29,339289917
TRANSACTION_3462,2007-10-04,848252290
TRANSACTION_84763,1999-07-03,923824605
