,UDI,Product ID,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Failure Type
0,1,M14860,298.1,308.6,1551,42.8,0,No Failure
1,2,L47181,298.2,308.7,1408,46.3,3,No Failure
2,3,L47182,298.1,308.5,1498,49.4,5,No Failure
3,4,L47183,298.2,308.6,1433,39.5,7,No Failure
4,5,L47184,298.2,308.7,1408,40.0,9,No Failure
5,6,M14865,298.1,308.6,1425,41.9,11,No Failure
6,7,L47186,298.1,308.6,1558,42.4,14,No Failure
7,8,L47187,298.1,308.6,1527,40.2,16,No Failure
8,9,M14868,298.3,308.7,1667,28.6,18,No Failure
9,10,M14869,298.5,309.0,1741,28.0,21,No Failure
10,11,H29424,298.4,308.9,1782,23.9,24,No Failure
11,12,H29425,298.6,309.1,1423,44.3,29,No Failure
12,13,M14872,298.6,309.1,1339,51.1,34,No Failure
13,14,M14873,298.6,309.2,1742,30.0,37,No Failure
14,15,L47194,298.6,309.2,2035,19.6,40,No Failure
15,16,L47195,298.6,309.2,1542,48.4,42,No Failure
16,17,M14876,298.6,309.2,1311,46.6,44,No Failure
17,18,M14877,298.7,309.2,1410,45.6,47,No Failure
18,19,H29432,298.8,309.2,1306,54.5,50,No Failure
19,20,M14879,298.9,309.3,1632,32.5,55,No Failure
20,21,H29434,298.9,309.3,1375,42.7,58,No Failure
21,22,L47201,298.8,309.3,1450,44.8,63,No Failure
22,23,M14882,298.9,309.3,1581,30.7,65,No Failure
23,24,L47203,299.0,309.4,1758,25.7,68,No Failure
24,25,M14884,299.0,309.4,1561,37.3,70,No Failure
25,26,L47205,299.0,309.5,1861,23.3,73,No Failure
26,27,L47206,299.1,309.5,1512,39.0,75,No Failure
27,28,H29441,299.1,309.4,1811,24.6,77,No Failure
28,29,L47208,299.1,309.4,1439,44.2,82,No Failure
29,30,L47209,299.0,309.4,1693,30.1,84,No Failure
30,31,M14890,299.1,309.5,1339,48.2,86,No Failure
31,32,L47211,299.0,309.4,1798,25.5,89,No Failure
32,33,L47212,299.0,309.4,1419,48.3,91,No Failure
33,34,L47213,298.9,309.3,1665,32.5,93,No Failure
34,35,M14894,298.8,309.1,1559,34.7,95,No Failure
35,36,M14895,298.8,309.2,1452,48.6,98,No Failure
36,37,M14896,298.9,309.2,1581,36.7,101,No Failure
37,38,L47217,298.8,309.1,1439,39.2,104,No Failure
38,39,H29452,298.9,309.2,1379,50.7,106,No Failure
39,40,L47219,298.8,309.1,1350,52.5,111,No Failure
40,41,L47220,298.8,309.1,1362,45.4,113,No Failure
41,42,L47221,298.8,309.1,1368,50.8,115,No Failure
42,43,M14902,298.8,309.1,1368,49.1,117,No Failure
43,44,H29457,298.8,309.2,1372,48.5,120,No Failure
44,45,M14904,298.8,309.1,1472,47.5,125,No Failure
45,46,L47225,298.8,309.1,1489,49.1,128,No Failure
46,47,M14906,298.7,309.0,1843,25.8,130,No Failure
47,48,L47227,298.8,309.1,1418,46.3,133,No Failure
48,49,H29462,298.8,309.2,1425,53.9,135,No Failure
49,50,M14909,298.9,309.2,1412,44.1,140,No Failure
50,51,L47230,298.9,309.1,2861,4.6,143,Power Failure
51,52,L47231,298.9,309.1,1383,54.9,145,No Failure
52,53,H29466,298.8,309.0,1497,43.8,147,No Failure
53,54,L47233,298.7,309.0,1565,35.1,152,No Failure
54,55,L47234,298.7,309.0,1691,30.1,154,No Failure
55,56,L47235,298.8,309.1,1512,40.7,156,No Failure
56,57,L47236,298.8,309.1,1477,42.4,158,No Failure
57,58,L47237,298.8,309.1,1513,40.3,160,No Failure
58,59,M14918,298.8,309.0,1661,29.5,162,No Failure
59,60,L47239,298.8,309.1,1378,54.4,165,No Failure
60,61,L47240,298.8,309.1,1393,52.6,167,No Failure
61,62,M14921,298.8,309.0,1592,38.2,169,No Failure
62,63,L47242,298.8,309.0,1829,22.9,172,No Failure
63,64,M14923,298.9,309.0,1812,25.9,174,No Failure
64,65,L47244,299.0,309.1,1523,38.6,177,No Failure
65,66,L47245,299.0,309.1,1394,45.1,179,No Failure
66,67,M14926,298.9,308.9,1679,28.7,181,No Failure
67,68,H29481,298.8,308.9,1466,44.1,184,No Failure
68,69,L47248,298.8,308.9,1527,32.4,189,No Failure
69,70,L47249,298.9,309.0,1410,65.7,191,Power Failure
70,71,M14930,298.9,309.0,1924,22.6,193,No Failure
71,72,L47251,298.9,309.1,1452,45.5,196,No Failure
72,73,L47252,298.9,309.1,1369,44.4,198,No Failure
73,74,L47253,299.0,309.1,1592,35.0,200,No Failure
74,75,L47254,298.9,309.0,1601,32.3,202,No Failure
75,76,L47255,298.8,308.9,1379,46.7,204,No Failure
76,77,L47256,298.8,308.9,1461,47.9,206,No Failure
77,78,L47257,298.8,308.9,1455,41.3,208,Tool Wear Failure
78,79,L47258,298.8,308.9,1398,51.5,0,No Failure
79,80,L47259,298.8,308.9,1402,37.9,2,No Failure
80,81,H29494,298.8,308.8,1445,49.9,4,No Failure
81,82,L47261,298.9,308.9,1450,47.5,9,No Failure
82,83,L47262,298.9,308.9,1453,40.8,11,No Failure
83,84,L47263,299.0,309.0,1469,40.1,13,No Failure
84,85,L47264,298.9,308.9,1422,47.6,15,No Failure
85,86,M14945,299.0,309.0,1804,26.8,17,No Failure
86,87,H29500,299.0,309.0,1436,43.9,20,No Failure
87,88,L47267,299.0,309.0,1544,31.8,25,No Failure
88,89,M14948,299.0,309.0,1419,45.2,27,No Failure
89,90,M14949,298.9,308.9,1487,39.5,30,No Failure
90,91,L47270,298.9,308.9,1753,25.8,33,No Failure
91,92,L47271,298.9,308.9,1830,24.9,35,No Failure
92,93,M14952,298.9,308.9,1727,27.1,37,No Failure
93,94,L47273,299.1,309.0,1450,43.0,40,No Failure
94,95,L47274,299.0,308.9,1622,31.9,42,No Failure
95,96,M14955,299.0,309.0,1351,52.2,44,No Failure
96,97,M14956,299.0,309.0,1575,35.3,47,No Failure
97,98,M14957,298.9,308.9,1750,29.9,50,No Failure
98,99,L47278,298.9,308.8,1529,32.7,53,No Failure
99,100,L47279,298.8,308.8,1523,44.4,55,No Failure
100,101,L47280,298.8,308.9,1852,25.0,57,No Failure
101,102,L47281,298.8,308.8,1991,20.7,59,No Failure
102,103,L47282,298.8,308.8,1555,40.6,61,No Failure
103,104,M14963,298.8,308.8,1441,40.5,63,No Failure
104,105,L47284,298.8,308.7,1450,43.4,66,No Failure
105,106,L47285,298.8,308.7,1591,31.1,68,No Failure
106,107,L47286,298.8,308.7,1445,48.5,70,No Failure
107,108,M14967,298.8,308.8,1497,46.8,72,No Failure
108,109,H29522,298.9,308.8,1621,32.7,75,No Failure
109,110,L47289,298.9,308.7,1572,34.1,80,No Failure
110,111,L47290,298.8,308.6,1872,22.5,82,No Failure
111,112,H29525,298.7,308.6,1499,43.5,84,No Failure
112,113,M14972,298.8,308.7,1498,39.5,89,No Failure
113,114,M14973,298.8,308.6,1486,41.9,92,No Failure
114,115,L47294,298.8,308.6,1680,29.4,95,No Failure
115,116,L47295,298.8,308.6,1431,45.7,97,No Failure
116,117,L47296,298.9,308.7,1564,34.1,99,No Failure
117,118,L47297,298.8,308.6,1599,33.0,101,No Failure
118,119,M14978,298.8,308.6,1707,28.1,103,No Failure
119,120,L47299,298.7,308.5,1467,40.7,106,No Failure
120,121,L47300,298.9,308.7,1433,44.7,108,No Failure
121,122,L47301,298.9,308.7,1558,41.2,110,No Failure
122,123,L47302,299.0,308.8,1310,50.7,112,No Failure
123,124,L47303,298.9,308.7,1546,43.4,114,No Failure
124,125,L47304,298.9,308.7,1727,29.4,116,No Failure
125,126,L47305,298.9,308.6,1560,32.2,118,No Failure
126,127,L47306,299.0,308.6,1329,60.5,120,No Failure
127,128,L47307,298.9,308.6,1413,46.5,122,No Failure
128,129,L47308,299.0,308.6,1587,38.6,124,No Failure
129,130,L47309,298.9,308.5,1559,34.3,126,No Failure
130,131,L47310,298.8,308.4,1473,41.1,128,No Failure
131,132,L47311,298.8,308.4,1737,27.7,130,No Failure
132,133,M14992,298.7,308.4,1441,43.2,132,No Failure
133,134,M14993,298.7,308.4,1430,49.6,135,No Failure
134,135,L47314,298.8,308.4,1369,53.0,138,No Failure
135,136,M14995,298.8,308.5,1711,28.5,140,No Failure
136,137,H29550,298.7,308.5,1420,45.7,143,No Failure
137,138,L47317,298.7,308.6,1297,55.3,148,No Failure
138,139,H29552,298.8,308.6,1449,49.4,150,No Failure
139,140,L47319,298.8,308.6,1268,55.8,155,No Failure
140,141,L47320,298.8,308.6,1511,36.1,157,No Failure
141,142,L47321,298.7,308.5,1544,35.2,159,No Failure
142,143,M15002,298.6,308.4,1778,28.2,161,No Failure
